aashtocl,rvindicator,chkey,chaashtokey
A-4,Yes,51720996,84501081
A-4,Yes,51720997,84501082
A-6,No ,51720997,84501083
A-4,Yes,51720998,84501084
A-6,No ,51720998,84501085
A-2-4,Yes,51721064,84501221
A-2-4,Yes,51721065,84501222
A-2-4,Yes,51721066,84501223
A-2-4,No ,51721067,84501224
A-3,Yes,51721067,84501225
A-2,No ,51721068,84501226
A-3,Yes,51721068,84501227
A-2,No ,51721069,84501228
A-3,Yes,51721069,84501229
A-2-4,No ,51721150,84501401
A-4,Yes,51721150,84501402
A-4,Yes,51721151,84501403
A-2-4,No ,51721151,84501404
A-4,Yes,51721152,84501405
A-2-4,No ,51721152,84501406
A-6,No ,51721152,84501407
A-7-6,No ,51721152,84501408
A-2-4,Yes,51721153,84501409
A-4,No ,51721153,84501410
A-2-4,Yes,51721154,84501411
A-2-4,No ,51721155,84501412
A-1-b,No ,51721155,84501413
A-3,Yes,51721155,84501414
A-2-4,No ,51721156,84501415
A-4,No ,51721156,84501416
A-3,Yes,51721156,84501417
A-1-b,No ,51721156,84501418
A-1-b,No ,51721157,84501419
A-2-4,No ,51721157,84501420
A-3,Yes,51721157,84501421
A-2-4,No ,51721158,84501422
A-3,Yes,51721158,84501423
A-1-b,No ,51721158,84501424
A-1-b,No ,51721159,84501425
A-2-4,No ,51721159,84501426
A-3,Yes,51721159,84501427
A-4,Yes,51720983,84501057
A-4,Yes,51720984,84501058
A-6,No ,51720984,84501059
A-6,Yes,51720985,84501060
A-7-6,No ,51720985,84501061
A-6,Yes,51721070,84501230
A-7-6,No ,51721070,84501231
A-4,Yes,51721071,84501232
A-4,Yes,51721072,84501233
A-6,No ,51721072,84501234
A-3,No ,51720890,84500885
A-1-b,Yes,51720890,84500886
A-1-a,No ,51720891,84500887
A-3,No ,51720891,84500888
A-1-b,Yes,51720891,84500889
A-2-4,No ,51721031,84501148
A-4,Yes,51721031,84501149
A-6,No ,51721031,84501150
A-2-4,No ,51721032,84501151
A-4,Yes,51721032,84501152
A-6,No ,51721032,84501153
A-6,Yes,51721033,84501154
A-2-4,No ,51721033,84501155
A-7-6,No ,51721033,84501156
A-6,Yes,51721034,84501157
A-2-6,No ,51721034,84501158
A-6,Yes,51721035,84501159
A-2-6,No ,51721035,84501160
A-7-6,No ,51721035,84501161
A-4,Yes,51721036,84501162
A-7-5,No ,51721036,84501163
A-6,Yes,51721037,84501164
A-4,No ,51721037,84501165
A-7-6,No ,51721037,84501166
A-6,Yes,51721038,84501167
A-7-6,No ,51721038,84501168
A-6,Yes,51721039,84501169
A-2-4,No ,51721039,84501170
A-7-6,No ,51721039,84501171
A-2-4,No ,51721040,84501172
A-6,Yes,51721040,84501173
A-7-6,No ,51721040,84501174
A-2-4,No ,51721041,84501175
A-4,Yes,51721041,84501176
A-6,No ,51721041,84501177
A-2-4,No ,51721042,84501178
A-4,Yes,51721042,84501179
A-6,No ,51721042,84501180
A-6,Yes,51721043,84501181
A-2-6,No ,51721043,84501182
A-4,Yes,51721126,84501333
A-2-4,No ,51721126,84501334
A-2-4,No ,51721127,84501335
A-6,Yes,51721127,84501336
A-7-6,No ,51721127,84501337
A-7-6,Yes,51721128,84501338
A-4,No ,51721128,84501339
A-2-4,No ,51721129,84501340
A-4,Yes,51721129,84501341
A-2-4,Yes,51721160,84501428
A-2-4,Yes,51721161,84501429
A-2-4,Yes,51721162,84501430
A-2-4,Yes,51721163,84501431
A-4,No ,51721163,84501432
A-2-4,Yes,51721164,84501433
A-2,No ,51721165,84501434
A-4,Yes,51721165,84501435
A-2-4,Yes,51721166,84501436
A-4,No ,51721166,84501437
A-2-4,Yes,51721167,84501438
A-4,No ,51721167,84501439
A-2-4,Yes,51721168,84501440
A-2-4,Yes,51721169,84501441
A-2-4,Yes,51721170,84501442
A-2-4,Yes,51721171,84501443
A-2-4,Yes,51721172,84501444
A-4,No ,51721172,84501445
A-2,No ,51721173,84501446
A-4,Yes,51721173,84501447
A-4,No ,51721174,84501448
A-6,Yes,51721174,84501449
A-2,Yes,51721175,84501450
A-2,Yes,51721176,84501451
A-2-4,Yes,51720999,84501086
A-4,No ,51720999,84501087
A-2-4,Yes,51721000,84501088
A-2-4,Yes,51721001,84501089
A-4,No ,51721001,84501090
A-2-4,Yes,51721002,84501091
A-4,No ,51721002,84501092
A-2-4,Yes,51721003,84501093
A-4,No ,51721003,84501094
A-2-4,Yes,51721004,84501095
A-2-4,Yes,51720965,84501030
A-2-4,Yes,51720966,84501031
A-4,Yes,51720967,84501032
A-6,No ,51720967,84501033
A-2-4,Yes,51720968,84501034
A-4,No ,51720968,84501035
A-2-4,Yes,51720969,84501036
A-2-4,Yes,51720970,84501037
A-2-4,Yes,51720971,84501038
A-4,No ,51720971,84501039
A-2-4,Yes,51720972,84501040
A-2-4,Yes,51721058,84501212
A-2-4,Yes,51721059,84501213
A-2-4,Yes,51721060,84501214
A-2-4,Yes,51721061,84501215
A-4,No ,51721061,84501216
A-2-4,Yes,51721062,84501217
A-3,No ,51721062,84501218
A-2-4,Yes,51721063,84501219
A-3,No ,51721063,84501220
A-2-4,Yes,51721177,84501452
A-4,No ,51721177,84501453
A-2-4,Yes,51721178,84501454
A-4,No ,51721178,84501455
A-4,Yes,51721179,84501456
A-2-4,Yes,51721180,84501457
A-4,No ,51721180,84501458
A-2-4,Yes,51721181,84501459
A-4,No ,51721181,84501460
A-4,Yes,51721182,84501461
A-4,No ,51721183,84501462
A-2-4,Yes,51721183,84501463
A-2-4,Yes,51721184,84501464
A-4,No ,51721184,84501465
A-2-4,Yes,51721089,84501267
A-3,No ,51721089,84501268
A-7,Yes,51721090,84501269
A-7,Yes,51721091,84501270
A-6,Yes,51721092,84501271
A-7-6,No ,51721092,84501272
A-2-4,No ,51721092,84501273
A-4,Yes,51721093,84501274
A-6,No ,51721093,84501275
A-7-6,Yes,51721094,84501276
