unifiedcl,rvindicator,chkey,chunifiedkey
SC-SM,Yes,51720996,96936721
CL,No ,51720997,96936722
ML,No ,51720997,96936723
SC,Yes,51720997,96936724
CL,No ,51720998,96936725
ML,No ,51720998,96936726
SC,Yes,51720998,96936727
SM,Yes,51721064,96936851
SP-SM,No ,51721064,96936852
SM,Yes,51721065,96936853
SM,Yes,51721066,96936854
SP-SM,No ,51721066,96936855
SM,Yes,51721067,96936856
SP-SM,No ,51721067,96936857
SM,Yes,51721068,96936858
SP-SM,No ,51721068,96936859
SP,Yes,51721069,96936860
SP-SM,No ,51721069,96936861
SM,No ,51721150,96937040
SC-SM,Yes,51721150,96937041
SC,No ,51721150,96937042
SC-SM,Yes,51721151,96937043
CL-ML,No ,51721151,96937044
ML,No ,51721151,96937045
CL,No ,51721151,96937046
SC,No ,51721151,96937047
SM,No ,51721151,96937048
SM,No ,51721152,96937049
SC-SM,No ,51721152,96937050
SC,Yes,51721152,96937051
ML,No ,51721152,96937052
CL,No ,51721152,96937053
SM,Yes,51721153,96937054
SW-SM,No ,51721153,96937055
SC-SM,No ,51721153,96937056
SM,Yes,51721154,96937057
SM,No ,51721155,96937058
SP-SM,Yes,51721155,96937059
SM,No ,51721156,96937060
SP-SM,Yes,51721156,96937061
SM,No ,51721157,96937062
SP-SM,Yes,51721157,96937063
SM,No ,51721158,96937064
SP-SM,Yes,51721158,96937065
SM,No ,51721159,96937066
SP-SM,Yes,51721159,96937067
ML,Yes,51720983,96936689
CL,Yes,51720984,96936690
CL-ML,No ,51720984,96936691
SC,No ,51720984,96936692
SC-SM,No ,51720984,96936693
CL,Yes,51720985,96936694
SC,No ,51720985,96936695
CL,Yes,51721070,96936862
SC,No ,51721070,96936863
ML,Yes,51721071,96936864
CL,Yes,51721072,96936865
CL-ML,No ,51721072,96936866
SC,No ,51721072,96936867
SC-SM,No ,51721072,96936868
SP,No ,51720890,96936493
SW,Yes,51720890,96936494
SP,No ,51720891,96936495
SW,Yes,51720891,96936496
SC,Yes,51721031,96936787
SM,No ,51721031,96936788
SC,Yes,51721032,96936789
SM,No ,51721032,96936790
SC,Yes,51721033,96936791
CH,No ,51721033,96936792
SC,Yes,51721034,96936793
CL,No ,51721035,96936794
SC,Yes,51721035,96936795
ML,Yes,51721036,96936796
OH,No ,51721036,96936797
SC,Yes,51721037,96936798
SM,No ,51721037,96936799
CL,No ,51721037,96936800
SC,Yes,51721038,96936801
CL,No ,51721038,96936802
SC,Yes,51721039,96936803
CH,No ,51721039,96936804
CL,No ,51721040,96936805
SC,Yes,51721040,96936806
SC,Yes,51721041,96936807
SM,No ,51721041,96936808
SC,Yes,51721042,96936809
SM,No ,51721042,96936810
SC,Yes,51721043,96936811
SC-SM,Yes,51721126,96936980
